,song,lyrics
5389,3 Headed Goat,[]
5390,I Called Mama,"[('[Verse 1]', ""got a call from a friend about a friend with some news no one ever wants\u2005to\u2005hear it hit me\u2005like a punch, it took my\u2005breath he was just gettin' into his best years yeah, somethin' like that'll shake you up wake you up""), ('[Chorus]', 'so i stopped off at a texaco, bought a slim jim and a coke parked out by the water just to watch that river flow grabbed my guitar from the back seat, wrote a song just for me and i sung it for the blue sky and a couple live oak trees i thought of home, grabbed my phone from my pocket and i called mama'), ('[Verse 2]', ""it rang a couple times, and she picked up i can always hear her smile when i call i just called to tell you that i loved you i was missing you and dad and home, that's all i got to really thinking this morning about what's important""), ('[Chorus]', 'so i stopped off at a texaco, bought a slim jim and a coke parked out by the water just to watch that river flow grabbed my guitar from the back seat, wrote a song just for me and i sung it for the blue sky and a couple live oak trees i thought of home, grabbed my phone from my pocket and i called mama'), ('[Bridge]', ""and from now on i ain't gonna wait so long""), ('[Chorus]', ""to stop off at a texaco, buy a slim jim and a coke park out by the water just to watch that river flow grab my guitar from the back seat, write a song just for me sing it for the blue sky and a couple live oak trees i think of home, grab my phone from my pocket instead of sayin' tomorrow, i'm gonna and i called mama and i called mam"")]"
5391,Bloody Valentine,"[('[Verse 1]', ""okay the simulation just went bad but you're the best i ever had like handprints in wet cement she\u2005touched\u2005me, it's permanent""), ('[Pre-Chorus]', 'in\u2005my head, in my head i couldn\'t\u2005hear anything you said, but in my head, in my head i\'m callin\' you ""girlfriend,"" what the fuck?'), ('[Chorus]', ""i don't do fake love but i'll take some from you tonight i know i've got to go but i might just miss the flight i can't stay forever, let's play pretend and treat this night like it'll happen again you'll be my bloody valentine tonight""), ('[Verse 2]', ""i'm overstimulated and i'm sad i don't expect you to understand it's nothing less than true romance or am i just makin' a mess?""), ('[Pre-Chorus]', ""in my head, in my head i'm lyin' naked with you, yeah in my head, in my head i'm ready to die holding your hand""), ('[Chorus]', ""i don't do fake love but i'll take some from you tonight (take some from you tonight) i know i've got to go but i might just miss the flight i can't stay forever, let's play pretend and treat this night like it'll happen again you'll be my bloody valentine tonight""), ('[Bridge]', ""i can't hide how i feel about you inside i'd give everything up tonight if i could just have you, be mine be mine, baby i can't hide (i cannot hide these feelings, no) how i feel about you inside (i cannot hide these feelings) i'd give everything up tonight (i'd give up everything for you) if i could just have you, be mine (i'd give up everything) be mine (ayy)""), ('[Chorus]', ""i don't do fake love but i'll take some from you tonight (take some from you tonight) i know i've got to go but i might just miss the flight i can't stay forever, let's play pretend and treat this night like it'll happen again you'll be my bloody valentine tonight""), ('[Outro]', 'no-no-no, no-no-no no-no-no, not just tonight no-no-no, no-no-no no-no-no, not just tonight no-no-no, no-no-no no-no-no, not just tonight no-no-no, no-no-no (in my head, in my head) no-no-no, not just tonight (were we on time?  should we try—')]"
5394,La Jeepeta,[]
5395,Caramelo,[]
5396,Pardon,[]
5398,Dollaz On My Head,"[('[Intro', "": gunna] pull up with a stick, i pull up with a stick   ( mike will made-it ) i'll pull\u2005up\u2005with a pink\u2005toe, i'm whippin', she suckin' this\u2005dick ( ear drummers ) i put some diamonds on her toes, let that ho know that i'm rich we was used to pullin' kick doors ( that money go for myles )""), ('[Chorus: Gunna]', ""i've been gettin' it since a toddler, i keep dollars on my head bein' a real one is my motto, handle my problems, i ain't scared i put prada on my collar 'cause she proud of what i said i'm a leader, i got 'em followin' my footsteps like the feds i shoot like i'm montana, chopper bullets make 'em shed, uh black on black new phantom, in the backseat sippin' red, uh bitch, i'm from atlanta where these hoes ride the dick like peg, yeah condo like the pharmacy, i got codeine in my fridge, pour up""), ('[Verse 1: Gunna]', ""my bro on a steamin' stove, cookin' crack like grits got this vibe on her tippy toes, strokin' her in a pent' la live, i'm stayin' at the loews with this hollywood bitch got a nine and a snubnose (let's go), can't wait to let it hit (hit) pull up with a stick, i'll pull up with a stick i'll pull up with a pink toe, i'm whippin', she suckin' this dick i'll put some diamonds on her toes, let that ho know that i'm rich (let that ho know that i'm rich) we was used to pullin' kick doors, you could still call it a lick (lick) you broke and can't be fixed (nah),  went to neimans and spent a nick (hah) how you poor? that don't make sense (ah), i made a whole mile off an inch (an inch) i had ninety-nine problems, i just scratched your ho off the list (scratched your ho off the list) got some millions and went and solved 'em, now my neck cost a quarter brick (brick)""), ('[Chorus: Gunna]', ""i've been gettin' it since a toddler, i keep dollars on my head bein' a real one is my motto, handle my problems, i ain't scared i put prada on my collar 'cause she proud of what i said i'm a leader, i got 'em followin' my footsteps like the feds i shoot like i'm montana, chopper bullets make 'em shed, uh black on black new phantom, in the backseat sippin' red, uh bitch, i'm from atlanta where these hoes ride the dick like peg, yeah condo like the pharmacy, i got codeine in my fridge, pour up""), ('[Verse 2: Young Thug]', 'bestie, bestie, i just hit my friend told her ""catch me"" (woah), ""catch me"" (woah), i\'ma lick her skin she so precious, precious, might not fuck again she too messy, messy, but hittin\', no flexin\' (no flexin\') rose gold ornaments (rose) dropped the two tint, car came with no tint (damn) you don\'t gotta use the door, you can hop in front of tip bond 9 in the vent , think \'bout dyin\' and get spent i got two b\'s on my boxers  and a thottie in the bed (yeah) i know niggas granted immunity,  still didn\'t tell 12 shit (12, 12, 12, shh) i got skeletons in my closets (woah), and they scared of me and shit (closets and they scared) maison margielas under the bed screamin\', ""rock me, kid"" (woah) i put water on my head, then she got seasick (i put water on my head) couple opps played dead (what?), and they still got hit i done bent lil\' mama\'s spine but that still ain\'t my kid (still ain\'t my kid) only reason i answer my line (why?), is \'cause she drink my spit (no cap)'), ('[Chorus: Gunna]', ""i've been gettin' it since a toddler, i keep dollars on my head bein' a real one is my motto, handle my problems, i ain't scared i put prada on my collar 'cause she proud of what i said i'm a leader, i got 'em followin' my footsteps like the feds i shoot like i'm montana, chopper bullets make 'em shed, uh black on black new phantom, in the backseat sippin' red, uh bitch, i'm from atlanta where these hoes ride the dick like peg, uh condo like the pharmacy, i got codeine in my fridg"")]"
5442,If The World Was Ending,[]
5457,"Baby, I'm Jealous",[]
5464,Cool Again,"[('[Verse 1]', ""i've been thinkin' 'bout ya lately reminiscin', goin' crazy miss the way your kiss would keep me\u2005up ayy,\u2005wish that you\u2005were here tonight drinkin' vodka soda, extra\u2005limes and we could just get back to bein' us""), ('[Chorus]', ""'cause i just wanna be cool again, cool again, cool again like we were last summer want you again, you again, you again to be stealin' my covers all tangled in each other, nights still playin' back in my head i just wanna be cool again, cool again, cool again, yeah""), ('[Verse 2]', ""do you ever think about the days we couldn't live without each other? where the hell did we go wrong? ayy, how'd we go from that to this? how'd we let a good thing slip? do we really have to go move on?""), ('[Chorus]', ""i just wanna be cool again, cool again, cool again like we were last summer want you again, you again, you again to be stealin' my covers all tangled in each other, nights still playin' back in my head i just wanna be cool again, cool again, cool again, yeah""), ('[Bridge]', 'yeah, i just wanna be, cool again (cool again, cool again, cool again, cool again)'), ('[Chorus]', ""'cause i just wanna be cool again, cool again, cool again like we were last summer want you again, you again, you again to be stealin' my covers all tangled in each other, nights still playin' back in my head i just wanna be cool again, cool again, cool again, yeah""), ('[Outro]', ""(cool again, cool again, cool again) y'all know that i just wanna be cool again (cool again, cool again, cool again) last summer with you (cool again, cool again, cool again) cool again (cool again, cool again) cool again, yea"")]"
5473,Rich N*gga Sh*t,[]
5487,Slidin,"[('[Intro', ""] uh-huh, uh-huh, uh-huh, uh-huh uh-huh, uh-huh, uh-huh, uh-huh, uh-huh, uh-huh, uh-huh, yeah yeah-yeah, yeah, yeah-yeah, yeah, yeah-yeah, yeah-yeah it's the big stepper (stepper), 4l repper (repper) hit him with a twenty-piece, ranch lemon pepper (pepper) black\u205fair\u205fforce\u205f1s dancing with\u205fthe devil ( if\u205fyoung metro don't trust you, i'm gon' shoot you , 21, 21, 21)""), ('[Verse 1]', ""his wifey trouble, thot was finna cut her, i pulled out a rubber opps tried to slide on my brother, had to up that cutter when it's smoke, we huddle, so many shots, damn near shot each other ar st-st-stutter, draco brown, look like peanut butter don't play tic-tac-toe or tit-for-tat, nigga, this ain't that (21, 21) he was talking gangster on them tracks 'til i got him whacked glizzy with the switch and it go splat, ain't no ducking that y'all be smoking make-believe opps, we be smoking, facts we be smoking gang after gang, cock it back and bang 21 4l, that's what i claim, let your nuts hang we don't shoot at houses, we hit brains, y'all lil' niggas lame fell in love with them chopper sounds, waka flocka flame""), ('[Chorus]', ""slidin' lookin' for the opps, they been hidin' i grew up 'round drugs, sex, and violence we turnt off they street, we heard sirens since a juvenile, i been wildin' chrome heart jeans got me stylin' said he wanted smoke, now he joggin' while you was in college i was robbin' ( if young metro don't trust you, i'm gon' shoot you )""), ('[Verse 2]', ""(brrt, bop bop) everybody run to they car (21) you ain't gon' make it that far (21) walk down with an ar (straight up) we keep shit in the street (on god) they gon' put it on the bar (on god) y'all niggas talking on pillows all my glocks got dildos (21) take your bank like cee-lo (21) draco bite, mosquito (21) y'all niggas corny, frito (pussy) kel-tec hot, it shoot cheeto (pussy) y'all be talking that rah-rah (pussy) you ain't finna rob-rob me, though (pussy) he went against me, he gone step on him, i put my feet on him (21) i just made an opp do the running man (running man) keep an fn in my cullinan (cullinan) still ain't met a bitch that i'd cuff again (21,21) still ain't met a bitch that i'd kiss (on god) he was talking crazy, he got blick (straight up) savage keep a token, john wick (john wick) shoot him in the back like he rick (ricky) playing freeze tag, niggas it (sticky)""), ('[Chorus]', ""slidin' lookin' for the opps, they been hidin' i grew up 'round drugs, sex, and violence we turnt off they street, we heard sirens since a juvenile, i been wildin' chrome heart jeans got me stylin' said he wanted smoke, now he joggin' while you was in college i was robbin' ( if young metro don't trust you, i'm gon' shoot you )""), ('[Outro: Morgan Freeman]', ""when your vision is crystal clear, they say it's razor-sharp a focused mind is said to be like a knife, but the scalpel is wisdom all one can do is accept that life is a double-edged sword stay on the edg"")]"
5493,Many Men,"[('[Intro', '] metro ayy, ayy, ayy, ayy, ayy, ayy'), ('[Verse 1]', ""i kept it solid the whole time (ayy) i ain't never, ever play both sides (ayy) east side nigga 'bout gunfire (ayy) pull up in a van and the door slide (ayy) we ain't never throwin' no white flag (straight up) gotta get smoke when the bros die (straight up) they gon' spin 'til the car hot (straight up) don't call my phone 'til some more die new maybach, i don't need no key i was in the dirt, you didn't believe in me my attention span too short don't wait for pussy, you teasin' me bad lil' vibe, she pleasin' me spend a whole m, yeah, easily i get the cash and put it up fast i think i got jb in me edge of the bed, she sit up (ayy) suckin' on me 'til she got hiccups (yeah) back in the day i did stickups (ayy) favorite hotbox was a pick up (yeah) say you want smoke, don't pick us (21) face shot, now you can't get up (21) candlelight gang, nigga, shut up (21) we known for shootin' shit the fuck up (21)""), ('[Chorus]', ""hundred large in these amiris, they all crippy (blue) i got vibes eatin' addys off ass and titties (loose) when there's smoke, we pull our stickies and they call the pd (pussy) many men wanna kill me, dawg, i feel like 50 (pussy) i got small fries want my spot, tryna defeat me (pussy) i got real model bitches tryna r&b me (pussy) all that cap inside your raps, i ain't even play your cd (21) we don't go back and forth on the internet, we put niggas on tv (big facts)""), ('[Verse 2]', ""i got your bitch and her bb (big facts) hit her in the shower, mimi (big facts) next day she tryna see me (straight up) told her i'm blind, stevie (stevie) nice girls can't even keep me (never) need a bad girl like riri (yeah, yeah) we don't pump fake, we kill beef (21) 21 savage, not jeezy (pussy) i got your bitch in the 'yo (i do) she in the hills on the coke (she is) i pull it out of my pants (i did) she put it right in her throat (she did) fish scales smellin' like polish (you dig?) they brought it right off the boat (you dig?) front door, back door king i done probably robbed your bro (i did) come up with a plan, better huddle (21) left wrist lookin' like a puddle (21) when i'm in the street, it's trouble (21) that's why i stay in my bubble (i do) brand new rari so fast, when i stomp the pedal to the floor, it stutter (skrrt) i ain't use a rubber and i make eggs, that's why i'm chasin' this butter (on god)""), ('[Chorus]', ""hundred large in these amiris, they all crippy (blue) i got vibes eatin' addys off ass and titties (loose) when there's smoke, we pull our stickies and they call the pd (pussy) many men wanna kill me, dawg, i feel like 50 (pussy) i got small fries want my spot, tryna defeat me (pussy) i got real model bitches tryna r&b me (pussy) all that cap inside your raps, i ain't even play your cd (21) won't go back and forth on the internet, we put niggas on tv (big facts)""), ('[Refrain: 21 Savage]', ""when there's smoke, we pull our stickies and they call the pd many men wanna kill me, dawg, i feel like 50 many men wanna kill me, dawg, i feel like 50 many men wanna kill me, dawg, i feel like 50""), ('[Interlude]', ""many men wish death upon— many men wish death upon— many men wish death upon me blood in my eye, dawg, and i can't see i'm tryin' to be what i'm destined to be and niggas tryin' to take my life away""), ('[Outro: Morgan Freeman]', ""the evil man envies the good in others what this means is all hatred is really born from hatred of self and can only serve to aid in one's own destruction this is the downfall of many me"")]"
5497,Sofia,"[('[Chorus]', ""i think we could do it if we tried if only to say you're mine sofia, know that you and i shouldn't feel like a crime i think we could do it if we tried if only to say you're mine sofia, know that you and i shouldn't feel like a crime""), ('[Verse 1]', ""you know i'll do anything you ask me to but, oh my god, i think i'm in love with you standing here alone now think that we can drive around i just wanna say how i love you with your hair down baby, you don't gotta fight i'll be here 'til the end of time wishing that you were mine pull you in, it's alright""), ('[Chorus]', ""i think we could do it if we tried if only to say you're mine sofia, know that you and i shouldn't feel like a crime""), ('[Verse 2]', ""honey, i don't want it to fade there's things that i know could get in the way i don't want to say goodbye and i think that we could do it if we tried""), ('[Chorus]', ""i think we could do it if we tried if only to say you're mine sofia, know that you and i shouldn't feel like a crime""), ('[Outro]', ""i think we could do it if we tried (i think we could, i think we could do it we could, we could, do it) i think we could do it if we tried ( sofia, know that you, you, you and i shouldn't feel like a crime) i think we could do it if we tried (sofia, know that you and i shouldn't feel like a crime) i think we could do it if we tried (sofia, know that you, you, you and i shouldn't feel like a crime) i think we could do it if we trie"")]"
5536,Fallin',"[('[Intro', "": urban mystic] what’s happenin', shawty? like everybody fallin' in love 'round here tell me, why don't we?""), ('[Verse 1: Urban Mystic]', ""if we both work really hard, and we open up our hearts the biggest part is communication and if we put away some cash, and don't go dippin' in the stash some day we're gonna make it""), ('[Pre-Chorus: Urban Mystic]', ""a view of the stars, a pool in the yard a two car garage it got hard but for somethin' we can call ours i would gladly go that extra mile""), ('[Chorus: Urban Mystic & Phyllisia Ross,  Phyllisia Ross  &  Urban Mystic ]', ""what makes a man take a second job to buy a weddin' ring? love only love makes a girl suffer labor pains in delivery love only love and a new born child is the answer to our dream seems like everybody's fallin', why don't we? yeah ,  yeah ,  yeah ,  yeah ,  yeah ,  yeah  ( sing for me, yeah )""), ('[Verse 2: Phyllisia Ross &  Urban Mystic ]', ""and for being such a man, gonna take you by the hand 'cause i notice what relieves the tension so lay back and relax your head, let me make it up in bed ( mm-hmm ) i wanna be your relaxation""), ('[Pre-Chorus: Phyllisia Ross &  Urban Mystic ]', ""'cause he works so hard ( so hard ), so we can live large ( live large ) and i lay the card i'm so far now i can charge it to my card for me he'll always go the extra mile""), ('[Chorus: Urban Mystic & Phyllisia Ross,  Phyllisia Ross  &  Urban Mystic ]', ""what makes a man take a second job to buy a weddin' ring? love only love makes a girl suffer labor pains in delivery love only love and a new born child is the answer to our dream seems like everybody's fallin', why don't we? yeah ,  yeah ,  yeah ,  yeah ,  yeah ,  yeah""), ('[Bridge: Phyllisia Ross,  Urban Mystic  &  Both ]', ""so why don't we take a day out and dedicate it to celebrate our love, uh-huh so proud that we held up, congratulations 'cause i'm so much in love so from this day forth ( okay ) when we talk about love ( okay ) and get any dictionary there's a picture of us ( oh ) laughing ( laughing ) and happy ( happy ) that we went that extra mile""), ('[Chorus: Urban Mystic & Phyllisia Ross,  Urban Mystic  &  Phyllisia Ross ]', ""what makes a man take a second job to buy a weddin' ring? love only love makes a girl suffer labor pains in delivery love only love and a new born child is the answer to our dream ( our dream ) seems like everybody's fallin', why don't we? ( why can't we? ) yeah ,  yeah ,  yeah ,  yeah ,  yeah ,  yeah""), ('[Outro: Urban Mystic &  Phyllisia Ross ]', ""why can't we? why can't we? la, la, la, la, la, la-la-la-la la-la-la, ahh, ooh why can't we? why can't we? why can't we? why can't we"")]"
5547,Outta Time,"[('[Verse 1: Drake]', ""i've been thinkin' maybe things were never the way we made 'em out to be how we thought they were lately, i'm not sure one thing for sure is when we're together we're toxic as ever make no mistake, all the roads lead to we shouldn't be together""), ('[Chorus: Drake]', ""i don't know why i still play into your palm even though i know what you want been twisted off you so long, oh-ho 'cause it's complicated, far from simple always find a way to dodge thеse issues can't seem to shake it, not for nothing thе problem is we're not discussin' all that screaming, yelling's not becomin' of you things just can't be fixed, we're out of time""), ('[Bridge: Bryson Tiller]', 'time, oh yeah oh yeah (oh yeah) oh yeah oh yeah oh yeah, yeah'), ('[Verse 2: Bryson Tiller]', ""oh, turns out i don't know, know you, no, not anymore, no and i can't wait 'til we find a way to part ways seems like your days are dark days seems like you're mad at the small things, i admit it, it seems like you're playin' it the hard way we fight through the night, all day""), ('[Chorus: Bryson Tiller]', ""i, i still don't know why i still play into your palm even though i know what you want i've been twisted on you for so long for so long, girl (yeah, yeah) got me twisted, i could only wait for so long for so long, girl (for so long) waited so long, but we got no time, no""), ('[Outro: Bryson Tiller]', 'ooh, babe woah, oh woah, oh no ooh, babe woah, oh woah, oh n')]"
5555,My Dawg,"[('[Verse 1]', ""just because i didn't remind you, don't think i forgot just because it ain't happened yet,\u2005don't\u2005think that it's\u2005not nipsey was solid, i know that\u2005he up there with biggie and pac my choppa could tell you a story, i pray that you don't try to plot stayed a hundred, couple niggas changed i ain't never went against the grain, i could never snort cocaine i could never fuck a bitch behind my brother then try and turn her to my main clout chasin' got him in a wood box, can't believe he died for the fame he'll risk it all for a name, i was comin' hard 'fore i came i ain't know nothin' 'bout no visa, i was in the park with the gang moms be feelin' bad, i try to tell her she is not to blame no social security, couldn't get a license, but i still didn't complain i went and got it, i ain't ask for no handout lil' nigga, we are not the same you know what i'm on, first girlfriend did me wrong i swear to god that every girl after that, i was gon' do 'em wrong different bitch in my bed every night, but i still be feelin' alone matter fact i finna be with one, probably right after i finish this song""), ('[Chorus]', ""that's my dawg (that's my dawg) he gon' ride (he gon' ride) off the leash (off the leash) he gon' slide (he gon' slide), she know i cheat (she know i cheat) she know i lie (she know i lie), i be geeked up, i be fried (21) sweep the room, we pull up with brooms (21, 21) smokin' girl scout, you can smell the fumes (smell the fumes) don't approach me 'bout your wifey if she choose (pussy) last scrub did that made the news (21)""), ('[Verse 2]', ""nigga keep talkin' that u.k. shit like i don't got aks (21) like, 'cause i was born overseas, these motherfuckers ain't gon' spray-spray (the fuck?) pull up in your hood, nigga, 9-1-1, y'all better call mayday (brr, pow, pow) from glenwood all the way to martin luther king, niggas know we don't play-play caught him down bad (21), broad daylight, i ain't need no mask (21) paid in full (21), all the opp hoes get shot in the ass strip a rap nigga if i ever get low on cash (21) middle school, i ain't go to class, i was hangin' in the hallway, i ain't have a pass (on god) high school, i ain't even go, i was hangin' in the colony tryna sell gas (straight up) in a hotbox with chevy, lil harold, and rock, ready to crash (21) tried to break in the pawnshop on candler road, but the rod wouldn't smash (21) larry got killed, couldn't believe this shit, man, the tears started falling' down fast (on god) lick on mcafee, found a ho, split, but we really had came for the cash (true story) i'm prayin' to ogun there's so much shit in the street and my past (21) i told t-tay that buddy was a fuck nigga, boom, he got on the stand (rat) 200k to the lawyer, lil' brother, gon' make sure you get out the cans (21, 21)""), ('[Chorus]', ""that's my dawg (that's my dawg) he gon' ride (he gon' ride) off the leash (off the leash) he gon' slide (he gon' slide), she know i cheat (she know i cheat) she know i lie (she know i lie), i be geeked up, i be fried (21) sweep the room, we pull up with brooms (21, 21) smokin' girl scout, you can smell the fumes (smell the fumes) don't approach me 'bout your wifey if she choose (pussy) last scrub did that made the new"")]"
5556,Brand New Draco,"[('[Intro', ""] yeah ( metro ) we ain't giving out smoke, we giving out embalming fluid spin that shit every day, every night back to back to back to back to back y'all niggas can't even trap, nothing post up, nothing, kick with the hoes, barbeque, nothing we spinning back to back two weeks, three weeks straight, nigga, on god, nigga big 4l, pussy""), ('[Chorus]', ""rockin' ice like i'm tryna make a knot go down (21, 21) when the police hit the lights, i do not slow down (on god, on god, on god, straight up) brand new draco ready to crash like when the stocks go down (pyoom) i'm rich for real, i could press a button and make the opps go down (nah, facts, pussy boy)""), ('[Verse 1]', ""maybach with the shade (straight up) brand new cts all red like the braves (on god) y'all just started slidin', we was slidin' back in the day (21) 21 gang, woodgrain on the k (21) big slaughter, nigga, big dagger in my face (straight up) ski mask, fuck a camera, gun him down on tape (on god) breaking news, fox 5, pussy, we don't play (straight up) i call my hellcat ovo 'cause it keep a drac' (facts) red dot, headshot, pussy doa (21) count me a ten in one minute, count a whole hundred in ten minutes (on god) niggas need to call they hood beyblades 'cause all we do is spin in it (on god) i own me a couple establishments, i ain't worried 'bout your business (21) y'all running 'round here gossipin', i'm tryna make me some more millions (pussy) ridin' with a stick in the hotbox, i ain't never put my phone in it (pussy) we call your main bitch pussy hood 'cause all we do is joan in it (pussy) money the only paperwork i put my bros in (pussy) somebody please unthaw my ears 'cause they frozen""), ('[Chorus]', ""rockin' ice like i'm tryna make a knot go down (21, 21) when the police hit the lights, i do not slow down (on god, on god, on god, straight up) brand new draco ready to crash like when the stocks go down (pyoom) i'm rich for real, i could press a button and make the opps go down (nah, facts, pussy boy)""), ('[Verse 2]', ""charge him with theft by taking 'cause his drip stolen (pussy) trap spot in the neighborhood is 60 rolling (pussy) had to do cpr, i got your bitch choking (pussy) selling percocets, weed, bar, and cocaine so many choppers in the spot, we leave the door open (21) put the water in the pot, then you stick the fork in put some holes in your shirt, now it's red, soakin' (21) i ain't runnin' from no smoke, period, semi-colon (21) you wanna hold somethin', i got plenty shells (21) i don't even want no smoke, niggas gon' tattletale (on god) i don't even play with people's kids, go play battlefield (straight up) i'm from the east, home of the murders, you niggas'll die out here (21) they like to box, we like to pop, both of us bodybuild (on god) you can get hit with one of them guns from my adlib (straight up) you gon' fuck around and get chopped, lil' karate kid (pussy) i ain't seen him in a minute, but ask if god did (pussy)""), ('[Outro]', ""saint laurent sweater rock balenciaga when i rock the barett-er (21) shout out robert kraft, fell in love with the cheddar (on god) beat a rapper ass, def jam vendett-er (bitch) when it come to shh, we got plenty eating ruth chris, i done burnt out on the beni' (21) and i eat, sleep, shit, fuck with the semi (on god) screamin' fuck friends, family first, rocking fendi (21"")]"
5558,Lovesick Girls,"[('[Intro', ': all] (lovesick girls) (lovesick girls)'), ('[Verse 1: Jennie,  All ]', '영원한 밤 창문 없는 방에 우릴 가둔 love ( love ) what can we say? 매번 아파도 외치는 love ( love )'), ('[Verse 2: Lisa]', '다치고 망가져도 나 뭘 믿고 버티는 거야 어차피 떠나면 상처투성인 채로 미워하게 될걸 끝장을 보기 전 끝낼 순 없어 이\u205f아픔을\u205f기다린\u205f것처럼'), ('[Pre-Chorus: Jisoo,  Rosé ]', ""아마 다 잠깐\u205f일지도 몰라 우린 무얼\u205f찾아서 헤매는 걸까 but i don't care, i'll do it over and over 내 세상 속엔 너만 있으면 돼""), ('[Chorus: All]', 'we are the lovesick girls 네 멋대로 내 사랑을 끝낼순 없어 we are the lovesick girls 이 아픔 없인 난 아무 의미가 없어'), ('[Post-Chorus: Jennie & Rosé]', 'but we were born to be alone yeah, we were born to be alone yeah, we were born to be alone but why we still looking for love?'), ('[Verse 3: Lisa,  Jennie ]', ""no love letters, no x and o's no love, never, my exes know no diamond rings, that set in stone to the left, better left alone didn't wanna be a princess, i'm priceless a prince not even on my list love is a drug that i quit no doctor could help when i'm lovesick""), ('[Pre-Chorus: Rosé,  Jisoo ]', '아마 다 잠깐 일지도 몰라 우린 무얼 찾아서 헤매는 걸까 불안한 내 눈빛 속에 널 담아 아프더라도 너만 있으면 돼'), ('[Chorus: All]', 'we are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 we are the lovesick girls 이 아픔 없인 난 아무 의미가 없어'), ('[Post-Chorus: Jennie & Rosé]', 'but we were born to be alone yeah, we were born to be alone yeah, we were born to be alone but why we still looking for love?'), ('[Bridge: Rosé,  Jisoo ]', ""사랑은 slippin' and fallin' 사랑은 killin' your darlin' 아프다 아물면 또 찾아오는 이 겁 없는 떨림 들리지 않아 what you say 이 아픔이 난 행복해 나를 불쌍해 하는 네가 내 눈엔 더 불쌍해""), ('[Chorus: All]', 'we are the lovesick girls 네 멋대로 내 사랑을 끝낼 순 없어 we are the lovesick girls 이 아픔없인 난 아무 의미가 없어'), ('[Interlude: Lisa]', 'one, two'), ('[Outro: All,  Rosé ,  Jennie ]', ""(lovesick girls)  모두 결국 떠나가고 (lovesick girls)  내 눈물이 무뎌져도 (lovesick girls)  아프고 또 아파도 (lovesick girls) but we're still looking for lov"")]"
5560,Snitches & Rats,"[('[Intro', "": 21 savage &  future ] yeah, huh, ya, ya ya, ya, ya, ya ya, ya, ya ( if young metro don't trust you, i'm gon' shoot you )""), ('[Chorus: 21 Savage]', ""snitches and rats, snitches and rats snitches and rats, they all get whacked (pussy) he told on his brother (pussy), his brother told back (pussy) they say that they twins, we call them siamese rats (on god) snitches and rats (21), snitches and rats (21) we snatchin' your jewelry (on god) and takin' your pack (lil' bitch) snitches and rats (pussy), snitches and rats (pussy) we cut off his tail and put slugs in his hat (facts)""), ('[Verse 1: 21 Savage]', ""you talk on the internet, we talk in the street (21) kel-tec .223, like d-wade, i love my heat (21) glock 19 in the booth, it's on the seat (pussy) black air force 1s in the field, thеm my cleats (pussy) caught a rap nigga down bad now his ass in a body bag (big facts) sound real tough when you makin' thеm songs where the fuck is your bodies at? (pussy) say you want smoke with that big 4l (21) where the fuck is your 'partments at? (21) been stepped on them, they ain't talkin' 'bout shit (pussy) them niggas a welcome mat shawty was speakin' them facts (on god) shawty ain't talkin' to rats (on god) niggas know nudy my twin playin' with cuz, a nigga get whacked (facts) you ain't gon' slide, you a ho, dawg (pussy) spinned a nigga block, then we rode off (pussy) young coupe tryna up the score, dawg chevy was busy, so i took 4 god (21)""), ('[Chorus: 21 Savage &  Young Nudy ]', ""snitches and rats, snitches and rats snitches and rats, they all get whacked (pussy) he told on his brother (pussy), his brother told back (pussy) they say that they twins, we call them siamese rats (on god) snitches and rats (21), snitches and rats (21) we snatchin' your jewelry (on god) and takin' your pack (lil' bitch) snitches and rats (pussy), snitches and rats (pussy) we cut off his tail and put slugs in his hat ( slime , facts)""), ('[Verse 2: Young Nudy]', ""black and white gon' tell it, and you snitchin', pussy, i don't smell it real convicted felon, strapped up, loaded, shit, this lethal weapon (lethal) bless you pussy niggas with this weapon, send you straight to heaven man, i pray to god you pussy niggas don't test me, i'm gon' bless you (for real) hope you niggas retaliate, don't tell them peoples or your mama (damn) niggas like to dry snitch when shit get real, wanna go tell they mama got to keep this shit twenty-one hundred, don't you fold under pressure fuck your honor, you know they try to give you a hundred yeah, niggas be scared, they catchin' a hundred snitches and rats, we gon' feed him a hundred (word) i spent that money, blue cheese (whew) all these rap niggas gon' follow the cheese (yeah) trade ones with my brudda, the other shit, you know we bust 'em (we bust 'em) i don't fuckin' trust ya, if you ain't metro, we gon' bust ya""), ('[Chorus: 21 Savage]', ""snitches and rats, snitches and rats snitches and rats, they all get whacked (pussy) he told on his brother (pussy), his brother told back (pussy) they say that they twins, we call them siamese rats (on god) snitches and rats (21), snitches and rats (21) we snatchin' your jewelry (on god) and takin' your pack (lil' bitch) snitches and rats (pussy), snitches and rats (pussy) we cut off his tail and put slugs in his hat (facts)""), ('[Outro: 21 Savage]', 'roll the window down, squeeze fuck it, spin again while they grieve 7.6, .223s who copped deuces? pleas')]"
